sample,band_window,raman_shift_cm_inverse,raw_intensity,fitted_background,corrected_intensity,fitted_G_height,normalized_corrected_intensity
dark-1,dg,1199.841,112.7089,76.11650948939983,36.59239051060017,334.144647584141,0.10951062893020255
dark-1,dg,1201.77,117.3827,76.04106050172045,41.34163949827955,334.144647584141,0.12372378189259879
dark-1,dg,1203.698,125.4703,75.9656506270466,49.504649372953395,334.144647584141,0.14815335134311144
dark-1,dg,1205.627,129.7397,75.89020163936723,53.849498360632765,334.144647584141,0.16115624999521477
dark-1,dg,1207.555,122.7201,75.81479176469338,46.90530823530662,334.144647584141,0.14037426178881224
dark-1,dg,1209.484,126.5351,75.73934277701402,50.79575722298598,334.144647584141,0.15201727033558152
dark-1,dg,1211.412,121.7218,75.66393290234018,46.05786709765982,334.144647584141,0.13783811122116504
dark-1,dg,1213.341,120.4348,75.5884839146608,44.8463160853392,334.144647584141,0.13421228324193474
dark-1,dg,1215.269,129.067,75.51307403998695,53.55392596001306,334.144647584141,0.1602716857720357
dark-1,dg,1217.198,125.8968,75.43762505230757,50.45917494769243,334.144647584141,0.15100997520837528
dark-1,dg,1219.126,118.3072,75.36221517763374,42.94498482236625,334.144647584141,0.12852213893850348
dark-1,dg,1221.055,122.0409,75.28676618995436,46.75413381004563,334.144647584141,0.13992183968253588
dark-1,dg,1222.983,134.1153,75.21135631528053,58.903943684719465,334.144647584141,0.17628276888645014
dark-1,dg,1224.911,141.1869,75.13594644060667,66.05095355939334,334.144647584141,0.19767173898172657
dark-1,dg,1226.84,137.8052,75.06049745292731,62.744702547072706,334.144647584141,0.18777706900504204
dark-1,dg,1228.768,130.7882,74.98508757825346,55.80311242174653,334.144647584141,0.1670028618599816
dark-1,dg,1230.697,132.1963,74.90963859057409,57.28666140942592,334.144647584141,0.17144270250505975
dark-1,dg,1232.625,142.5107,74.83422871590024,67.67647128409978,334.144647584141,0.20253645172352538
dark-1,dg,1234.554,149.9311,74.75877972822086,75.17232027177913,334.144647584141,0.22496939817912234
dark-1,dg,1236.482,148.049,74.68336985354702,73.36563014645299,334.144647584141,0.21956248791319866
dark-1,dg,1238.411,142.9231,74.60792086586764,68.31517913413236,334.144647584141,0.20444792286229846
dark-1,dg,1240.339,142.5197,74.5325109911938,67.9871890088062,334.144647584141,0.20346634159892188
dark-1,dg,1242.268,147.0397,74.45706200351442,72.58263799648559,334.144647584141,0.21721921485577153
dark-1,dg,1244.196,155.6925,74.38165212884059,81.31084787115941,334.144647584141,0.24334026733342934
dark-1,dg,1246.125,152.1132,74.3062031411612,77.8069968588388,334.144647584141,0.23285423669474223
dark-1,dg,1248.053,150.9338,74.23079326648737,76.70300673351262,334.144647584141,0.22955030789232686
dark-1,dg,1249.982,165.6649,74.15534427880799,91.509555721192,334.144647584141,0.27386210248407156
dark-1,dg,1251.91,164.0507,74.07993440413415,89.97076559586586,334.144647584141,0.2692569408079784
dark-1,dg,1253.839,166.9383,74.00448541645477,92.93381458354523,334.144647584141,0.27812450462832433
dark-1,dg,1255.767,174.0673,73.92907554178093,100.13822445821906,334.144647584141,0.29968525661630785
dark-1,dg,1257.695,175.5928,73.8536656671071,101.73913433289292,334.144647584141,0.3044763250540291
dark-1,dg,1259.624,178.184,73.77821667942771,104.40578332057228,334.144647584141,0.312456847881371
dark-1,dg,1261.552,183.5236,73.70280680475388,109.82079319524611,334.144647584141,0.32866243403642165
dark-1,dg,1263.481,193.9257,73.6273578170745,120.29834218292551,334.144647584141,0.3600187614935031
dark-1,dg,1265.409,191.532,73.55194794240064,117.98005205759937,334.144647584141,0.3530807777727183
dark-1,dg,1267.338,185.4484,73.47649895472128,111.97190104527871,334.144647584141,0.3351000887035997
dark-1,dg,1269.266,197.2768,73.40108908004743,123.87571091995258,334.144647584141,0.3707248097959116
dark-1,dg,1271.195,206.8807,73.32564009236806,133.55505990763191,334.144647584141,0.39969235142095577
dark-1,dg,1273.123,209.433,73.25023021769421,136.1827697823058,334.144647584141,0.40755634054564227
dark-1,dg,1275.052,213.7738,73.17478123001484,140.59901876998515,334.144647584141,0.4207729191130643
dark-1,dg,1276.98,221.0355,73.09937135534099,147.93612864465902,334.144647584141,0.4427308045010872
dark-1,dg,1278.909,223.9082,73.02392236766161,150.88427763233838,334.144647584141,0.45155377685451087
dark-1,dg,1280.837,228.7347,72.94851249298777,155.78618750701224,334.144647584141,0.46622380048084927
dark-1,dg,1282.766,245.5403,72.8730635053084,172.66723649469162,334.144647584141,0.5167439842088515
dark-1,dg,1284.694,248.9856,72.79765363063456,176.18794636936545,334.144647584141,0.527280468632973
dark-1,dg,1286.622,239.8784,72.72224375596072,167.15615624403927,334.144647584141,0.5002508867120119
dark-1,dg,1288.551,250.7044,72.64679476828134,178.05760523171864,334.144647584141,0.5328758264394522
dark-1,dg,1290.479,265.1426,72.5713848936075,192.57121510639251,334.144647584141,0.5763109374897323
